sample_idx,i,q
385,-5379,-25913
386,29550,5021
387,-6898,20780
388,-6374,3472
389,-26542,14040
390,21133,30566
391,-13042,30338
392,6533,-22246
393,6292,26922
394,-1079,8846
395,-30943,4488
396,-13352,-4567
397,26744,-7280
398,2552,-14597
399,-23197,-13336
400,-22833,25389
401,-6206,-22218
402,-24132,152
403,20123,12297
404,-4022,5317
405,-19533,24295
406,-19073,-7915
407,-30671,153
408,13207,-29354
409,13288,-26023
410,17861,-12776
411,29231,-14292
412,-787,31042
413,29574,15930
414,-18260,2163
415,26065,-1704
416,-27512,-19867
417,-32620,-8672
418,-27053,3641
419,2049,31098
420,-12315,-11258
421,17663,-22042
422,-5322,10439
423,3477,19425
424,-3371,30012
425,-30202,10434
426,-15684,25942
427,-29429,-26708
428,-26033,-10213
429,21961,802
430,18331,-12346
431,16734,20685
432,23047,-26484
433,-14774,16565
434,-8554,28888
435,26803,-16045
436,-32197,-16282
437,-12629,3624
438,-14710,14984
439,6806,17856
440,20633,4667
441,-17038,-17648
442,29483,-9775
443,-11009,-29808
444,-286,-1127
445,-27563,-24792
446,-11862,-5232
447,-9030,-23999
448,12213,30378
449,-12274,9514
450,20844,-23362
451,-18989,-5826
452,-5914,-15886
453,-17164,-25190
454,1487,2578
455,28247,-2702
456,32016,24889
457,29890,12737
458,-7574,-4819
459,512,8255
460,542,11687
461,5181,5608
462,-3037,-3844
463,-17429,15978
464,8805,-19558
465,-23637,11324
466,6677,-18629
467,-23644,-16448
468,-26237,32231
469,13142,2598
470,-1670,14888
471,29978,13636
472,-4460,18191
473,-29065,1956
474,-31657,24342
475,-7523,-25478
476,-31870,-9965
477,1928,-29565
478,3533,-3008
479,23219,-17478
480,12794,-6762
481,10179,12776
482,30126,-24933
483,-22482,-27462
484,26678,25294
485,1775,12167
486,-31137,-17625
487,-5325,-23489
488,8989,12442
489,16977,-22237
490,-26149,30561
491,31871,16864
492,-29062,19172
493,4482,10987
494,22846,-22482
495,17131,-18850
496,10912,11766
497,-30348,-14410
498,23894,-969
499,-31354,23031
500,-31891,13959
501,20822,19889
502,-16317,13720
503,2669,18155
504,5548,-12846
505,12802,-15607
506,4726,-6116
507,-6757,23679
508,-16773,-8088
509,18295,-18945
510,-20,-3977
511,-24816,9873
512,11850,-11369
513,-25369,-30496
514,-7487,-1470
515,7772,26503
516,16879,-30382
517,-318,16198
518,2164,7518
519,11549,-21037
520,19728,-20397
521,-19026,12096
522,-15840,-22117
523,-15671,28310
524,3280,-17837
525,21163,-11534
526,-20492,-15883
527,10493,-2592
528,-23896,32099
529,-18128,-4878
530,10815,1910
531,-22519,13049
532,-26050,-31908
533,4907,-461
534,-9663,-22617
535,22536,25607
536,-8102,-19963
537,-18368,24577
538,-890,8070
539,32615,7138
540,-31577,-30735
541,-27985,-15446
542,24604,-16487
543,-11686,25038
544,-15707,1598
545,3922,5803
546,1629,-17755
547,-603,-29622
548,-5354,-8914
549,6198,-11624
550,-2421,7063
551,7772,10723
552,-17798,-2197
553,-24028,-20555
554,15877,15611
555,2549,-22143
556,7115,-23731
557,7321,-13264
558,16124,1513
559,22671,2331
560,-28016,1524
561,-4500,-9434
562,-1781,27811
563,8636,7704
564,7255,9382
565,-9251,30683
566,-11369,-18795
567,-30755,8652
568,-9879,-3476
569,-31325,-2148
570,15251,-6664
571,-22471,-7574
572,-17295,16265
573,4410,-14266
574,30443,-22005
575,721,-19382
576,10575,30036
577,-17509,-6586
578,19397,3012
579,26395,6423
580,8241,-8534
581,21137,5076
582,-24584,-31530
583,23964,-7122
584,-16006,16517
585,-14719,8405
586,-7499,-15229
587,25414,-14088
588,-9004,-5315
589,-32616,-9808
590,-30231,-8266
591,-3879,29674
592,-10142,-25998
593,27781,12463
594,11365,-3413
595,-26074,29847
596,5686,16555
597,1021,5120
598,12296,-26354
599,-12414,885
600,1294,19666
601,-29532,-6821
602,8285,22891
603,25909,19249
604,5638,-3512
605,18451,31543
606,-9987,15554
607,-30758,8343
608,22431,9725
609,-28957,-21031
610,22539,-28056
611,-27690,-4478
612,-24102,20627
613,27726,26247
614,-512,22504
615,-1818,-8162
616,22280,16830
617,11825,10617
618,19430,15413
619,19571,24990
620,8909,-3596
621,-1536,19949
622,906,31990
623,-7356,19707
624,4641,-25409
625,-19490,-24735
626,29806,22092
627,-15158,14049
628,-14599,30091
629,19161,-19054
630,-9990,2452
631,-10751,-13597
632,-30144,-4035
633,26746,-20051
634,-13410,-27347
635,-3172,18486
636,-2663,5824
637,16216,-20581
638,-28135,-28690
639,17882,24506
640,-5893,-2051
641,15825,3857
642,5205,-30289
643,27984,-16894
644,-29495,-9894
645,6654,12673
646,-1813,-13416
647,15258,-27004
648,23739,-11275
649,17752,-28828
650,-27706,23159
651,-6095,-16469
652,281,-8450
653,-13319,24787
654,-5052,-7973
655,-23340,-25126
656,16751,32119
657,12350,177
658,-9032,-2445
659,31249,-5764
660,16063,4828
661,20723,27044
662,-11367,15314
663,-32331,-6603
664,-8440,-1227
665,14069,30600
666,-13140,-22411
667,22317,19673
668,-9276,21409
669,18626,-14813
670,11673,-22880
671,-16266,11435
672,12011,-29314
673,14122,-3245
674,30188,2527
675,23841,16108
676,20788,6044
677,-17477,-15574
678,5834,22746
679,15410,21484
680,27816,15187
681,13704,-20498
682,15860,-22594
683,8399,-8914
684,-9073,-325
685,20132,-29514
686,4645,4983
687,-9737,-15170
688,-4343,17882
689,-18996,-12361
690,8919,-21720
691,-9744,-10770
692,-10469,18940
693,-19089,-11827
694,16985,828
695,18326,-14531
696,-7671,-2081
697,-7381,-31404
698,23256,-30895
699,28284,-6513
700,14325,462
701,8244,1645
702,16667,-26759
703,20196,4926
704,9171,6525
705,-4269,-8295
706,11448,-12727
707,-10650,13854
708,-21877,-3382
709,-16762,7157
710,-29047,-9762
711,-1603,-22338
712,23814,-18723
713,658,-14831
714,12677,-8303
715,24119,10184
716,31969,-1740
717,20203,21635
718,26874,-17673
719,29600,6089
720,30228,-21781
721,-8219,16214
722,-4198,-10904
723,4553,-32092
724,-2445,2553
725,29131,1452
726,22060,7512
727,-31899,-24760
728,-3856,13547
729,1706,3020
730,9910,19462
731,31022,-6642
732,1877,-26319
733,-17967,6937
734,17527,27891
735,-26544,-22050
736,-21048,-10644
737,11099,30626
738,21143,-5719
739,-22032,7609
740,-20964,13188
741,-32562,19508
742,1563,9266
743,3684,-8666
744,12660,-10364
745,-6069,12536
746,-32038,-621
747,453,14866
748,31459,-14070
749,-1457,-26859
750,-13354,10018
751,4726,32725
752,22419,-824
753,5814,-5160
754,22504,-18931
755,-5928,-26357
756,-26010,-17726
757,3747,18352
758,-7060,10672
759,16652,-31219
760,31518,18094
761,31831,-15241
762,26780,-13866
763,-12390,32046
764,21456,27164
765,20033,-24075
766,1092,19515
767,16897,5194
768,-4048,-25594
769,-23087,6850
770,-25363,16228
771,-10500,-6650
772,-3933,2667
773,-30261,7017
774,-6170,-32702
775,6502,-14006
776,14290,-23811
777,-12608,32572
778,2879,-27818
779,3905,-29177
780,7388,-10151
781,7556,-28872
782,-261,13531
783,22113,28034
784,-25403,-30502
785,3306,23371
786,2606,-10434
787,-29313,-3911
788,-24114,13017
789,-20247,23015
790,-28884,-17550
791,29167,2630
792,9346,-7316
793,-9137,5873
794,12859,-27344
795,-5763,-21241
796,14151,29114
797,-5090,6451
798,24689,-31765
799,21861,-3350
800,-3757,22786
801,900,-13260
802,-20217,3639
803,-12551,-2108
804,4017,30075
805,21800,11187
806,32647,27774
807,-160,-7868
808,-28394,-16550
809,31029,-9177
810,10698,752
811,-26502,-23123
812,-10167,7514
813,-16287,-16757
814,-7731,-7170
815,18689,-31791
816,4086,1907
817,-11613,-2709
818,-16877,-20025
819,2398,24733
820,1089,30675
821,-32091,-7358
822,1631,-25977
823,-10395,3344
824,-30660,19512
825,-23877,-21255
826,688,12276
827,-11158,-28586
828,29590,-12996
829,-17346,15766
830,24710,2292
831,5368,16607
832,18877,-1163
833,6869,-7391
834,23005,-1331
835,18578,-13943
836,30958,-21280
837,26100,-22605
838,-31844,17913
839,9773,21955
840,21772,31024
841,19304,17963
842,8612,7957
843,18454,15271
844,26499,3460
845,-31492,4721
846,31709,-5314
847,-28053,-20985
848,32376,3922
849,-21785,21207
850,2351,7045
851,32589,25094
852,4151,17856
853,-18327,19219
854,-5751,-6820
855,4074,-24109
856,-13440,32486
857,-30650,17599
858,-2726,-21501
859,23916,5151
860,23675,-9313
861,-16657,-19091
862,213,-27081
863,464,31051
864,-3692,-10237
865,-32551,-14257
866,2,-13959
867,-2904,-22234
868,-6121,24698
869,4815,-24610
870,18217,23419
871,16407,-20393
872,-6686,17597
873,3583,-2924
874,703,21702
875,14999,10920
876,-30227,-29862
877,27154,-17581
878,-29275,-16312
879,8600,6539
880,21136,-15860
881,-3577,-25847
882,-13018,25138
883,-1955,16761
884,-10807,-11709
885,-2764,21464
886,27056,-23897
887,10857,281
888,-6851,-8127
889,-11937,13334
890,-4591,7080
891,-32639,-3271
892,29956,-15881
893,7609,19428
894,-14912,3675
895,3993,25508
896,-763,-17565
897,-14101,-1294
898,-14532,10795
899,4512,-25873
900,-15917,10475
901,-12334,-18378
902,-30980,24494
903,-4071,7506
904,22415,27238
905,18170,-17235
906,5584,-11968
907,20753,-26169
908,-32576,13029
909,18680,10708
910,28588,14744
911,235,30514
912,3448,-17858
913,-32007,3803
914,-17107,25936
915,9078,-19822
916,8507,-14124
917,9412,23254
918,7303,1543
919,-17079,-11158
920,-23809,-2359
921,-17301,-8984
922,-14353,29782
923,-3350,2495
924,15305,-943
925,9492,-13326
926,-26895,17369
927,-3381,17359
928,-30888,17503
929,18059,-20257
930,-1344,9148
931,-24494,-13292
932,-21049,4594
933,5949,18190
934,-29563,12784
935,-24400,1151
936,-19552,3789
937,2084,8031
938,-19810,14232
939,-5634,27631
940,-2190,11843
941,-5663,2168
942,6507,6596
943,18199,20350
944,7354,17083
945,18077,-32311
946,-19334,16128
947,12982,7651
948,-29212,6337
949,-23505,-30897
950,-29032,-1255
951,-24908,-29971
952,-10031,10688
953,13657,19950
954,6913,-27467
955,4377,-7211
956,-15350,10175
957,14852,-16534
958,-29306,-21586
959,-27519,8898
960,-9652,22897
961,32558,14994
962,-12679,-343
963,19390,32023
964,6330,24502
965,14951,4292
966,-29745,24292
967,-13308,7011
968,2034,-9892
969,-31656,7138
970,-18476,19444
971,-3529,7745
972,1878,19089
973,-3268,-23277
974,6696,-2195
975,23409,-16605
976,-3364,8972
977,458,-4479
978,-30098,16408
979,13351,-32256
980,8134,-818
981,-20585,12694
982,-10573,-18445
983,-22925,18246
984,-25272,-28611
985,-24194,22354
986,18157,4603
987,-32111,20624
988,21014,-16652
989,29526,27344
990,4568,-4370
991,16679,25507
992,17526,-7759
993,-27922,10613
994,18624,-28704
995,-26051,-19445
996,-19015,31302
997,-21023,3627
998,-20219,29902
999,-11456,-7927
1000,21359,-7401
1001,-11367,-30860
1002,25955,31205
1003,-5973,-26882
1004,4708,9510
1005,10919,-17728
1006,21255,7974
1007,-29492,-25909
1008,-26383,18350
1009,-31396,-15563
1010,-1536,-16637
1011,-6000,-2941
1012,19149,-25986
1013,8130,-1925
1014,3743,7349
1015,-1764,-28340
1016,15035,17347
1017,-12656,11147
1018,31153,19876
1019,-9392,31336
1020,-23188,-9639
1021,-11760,-3939
1022,15535,21151
1023,-21214,-10293
