sample_idx,i,q
803,60,63
804,63,68
805,-61,73
806,-58,78
807,-55,83
808,-52,88
809,-49,93
810,-46,98
811,-43,103
812,-40,108
813,-37,113
814,-34,118
815,-31,123
816,-28,-127
817,-25,-122
818,-22,-117
819,-19,-112
820,-16,-107
821,-13,-102
822,-10,-97
823,-7,-92
824,-4,-87
825,-1,-82
826,2,-77
827,5,-72
828,8,-67
829,11,-62
830,14,-57
831,17,-52
832,20,-47
833,23,-42
834,26,-37
835,29,-32
836,32,-27
837,35,-22
838,38,-17
839,41,-12
840,44,-7
841,47,-2
842,50,3
843,53,8
844,56,13
845,59,18
846,62,23
847,-62,28
848,-59,33
849,-56,38
850,-53,43
851,-50,48
852,-47,53
853,-44,58
854,-41,63
855,-38,68
856,-35,73
857,-32,78
858,-29,83
859,-26,88
860,-23,93
861,-20,98
862,-17,103
863,-14,108
864,-11,113
865,-8,118
866,-5,123
867,-2,-127
868,1,-122
869,4,-117
870,7,-112
871,10,-107
872,13,-102
873,16,-97
874,19,-92
875,22,-87
876,25,-82
877,28,-77
878,31,-72
879,34,-67
880,37,-62
881,40,-57
882,43,-52
883,46,-47
884,49,-42
885,52,-37
886,55,-32
887,58,-27
888,61,-22
889,-63,-17
890,-60,-12
891,-57,-7
892,-54,-2
893,-51,3
894,-48,8
895,-45,13
896,-42,18
897,-39,23
898,-36,28
899,-33,33
900,-30,38
901,-27,43
902,-24,48
903,-21,53
904,-18,58
905,-15,63
906,-12,68
907,-9,73
908,-6,78
909,-3,83
910,0,88
911,3,93
912,6,98
913,9,103
914,12,108
915,15,113
916,18,118
917,21,123
918,24,-127
919,27,-122
920,30,-117
921,33,-112
922,36,-107
923,39,-102
924,42,-97
925,45,-92
926,48,-87
927,51,-82
928,54,-77
929,57,-72
930,60,-67
931,63,-62
932,-61,-57
933,-58,-52
934,-55,-47
935,-52,-42
936,-49,-37
937,-46,-32
938,-43,-27
939,-40,-22
940,-37,-17
941,-34,-12
942,-31,-7
943,-28,-2
944,-25,3
945,-22,8
946,-19,13
947,-16,18
948,-13,23
949,-10,28
950,-7,33
951,-4,38
952,-1,43
953,2,48
954,5,53
955,8,58
956,11,63
957,14,68
958,17,73
959,20,78
960,23,83
961,26,88
962,29,93
963,32,98
964,35,103
965,38,108
966,41,113
967,44,118
968,47,123
969,50,-127
970,53,-122
971,56,-117
972,59,-112
973,62,-107
974,-62,-102
975,-59,-97
976,-56,-92
977,-53,-87
978,-50,-82
979,-47,-77
980,-44,-72
981,-41,-67
982,-38,-62
983,-35,-57
984,-32,-52
985,-29,-47
986,-26,-42
987,-23,-37
988,-20,-32
989,-17,-27
990,-14,-22
991,-11,-17
992,-8,-12
993,-5,-7
994,-2,-2
995,1,3
996,4,8
997,7,13
998,10,18
999,13,23
1000,16,28
1001,19,33
1002,22,38
1003,25,43
1004,28,48
1005,31,53
1006,34,58
1007,37,63
1008,40,68
1009,43,73
1010,46,78
1011,49,83
1012,52,88
1013,55,93
1014,58,98
1015,61,103
1016,-63,108
1017,-60,113
1018,-57,118
1019,-54,123
1020,-51,-127
1021,-48,-122
1022,-45,-117
1023,-42,-112
